seed,x,y,r,f_spiral,f_circles,margin,router_spiral,oracle_spiral,composite_correct,region_match
42,0.75423,-0.93301,1.19974,0.98356,0.74221,-0.51302,0,0,1,1
42,-0.10323,-0.52493,0.53498,0.98479,0.41399,-0.29464,0,0,1,1
42,0.68657,-0.37500,0.78231,0.98274,0.70736,-0.49530,0,0,1,1
42,0.54539,0.74610,0.92418,0.03045,0.97444,-1.11309,0,0,1,1
42,0.71170,-0.99663,1.22466,0.98368,0.73998,-0.51181,0,0,1,1
42,-0.16328,-0.65820,0.67815,0.98520,0.42469,-0.30321,0,0,1,1
42,-0.41425,-0.05833,0.41834,0.04797,0.04330,-0.76935,0,0,1,1
42,-0.48078,0.33950,0.58857,0.03067,0.50146,-1.27515,0,0,1,1
42,0.93901,-0.52758,1.07707,0.98347,0.75265,-0.51832,0,0,1,1
42,-0.02696,-0.88304,0.88345,0.98582,0.51042,-0.36904,0,0,1,1
42,0.29943,0.74055,0.79880,0.03010,0.12852,-1.16211,0,0,1,1
42,-0.52955,-0.72502,0.89782,0.98527,0.86697,-0.56848,0,0,1,1
42,0.11938,-0.54376,0.55671,0.98493,0.11961,0.04833,1,0,0,0
42,0.98215,0.66537,1.18631,0.04290,0.97444,-1.11199,0,0,1,1
42,-0.40079,-0.55288,0.68287,0.98476,0.42975,-0.30765,0,0,1,1
42,-0.44445,-0.67574,0.80880,0.98515,0.43833,-0.31433,0,0,1,1
42,-0.12258,0.62716,0.63903,0.03016,0.74974,-1.17203,0,0,1,1
42,0.42409,0.91474,1.00827,0.02937,0.97530,-1.11294,0,0,1,1
42,-0.57860,-0.92876,1.09424,0.98577,0.87195,-0.57016,0,0,1,1
42,-0.57606,-0.85746,1.03299,0.98560,0.87054,-0.56970,0,0,1,1
42,0.50600,0.19904,0.54374,0.09058,0.04644,-0.51258,0,0,1,1
42,0.88090,-0.46026,0.99389,0.98320,0.74250,-0.51339,0,0,1,1
42,-0.35165,0.40767,0.53838,0.03171,0.12542,-1.15635,0,0,1,1
42,-0.49980,0.42212,0.65421,0.03129,0.57129,-1.21794,0,0,1,1
42,-0.48622,0.99395,1.10651,0.02816,0.96926,-1.11462,0,0,1,1
42,-0.27063,-0.48250,0.55322,0.98456,0.06089,0.14537,1,0,0,0
42,0.90500,-0.80319,1.21002,0.97321,0.75495,-0.52584,0,0,1,1
42,-0.97200,0.67033,1.18073,0.02964,0.64449,-1.19939,0,0,1,1
42,-0.85971,0.72524,1.12476,0.02805,0.64605,-1.19920,0,0,1,1
42,-0.82518,0.63176,1.03925,0.02845,0.60459,-1.20980,0,0,1,1
42,-0.32937,0.73457,0.80503,0.02929,0.76399,-1.16842,0,0,1,1
42,0.60035,0.34436,0.69210,0.08212,0.08999,-0.86964,0,0,1,1
42,0.09667,-0.46488,0.47483,0.98465,0.02736,0.18381,1,0,0,0
42,0.90114,0.62239,1.09518,0.04316,0.97406,-1.11206,0,0,1,1
42,-0.74117,0.85554,1.13194,0.02894,0.96098,-1.11675,0,0,1,1
42,0.16572,0.69494,0.71442,0.03211,0.11582,-1.14611,0,0,1,1
42,0.07737,0.52053,0.52625,0.03122,0.09775,-1.12626,0,0,1,1
42,0.32177,-0.54511,0.63299,0.98317,0.65535,-0.46578,0,0,1,1
42,0.56550,-0.32354,0.65151,0.98243,0.07731,0.11982,1,0,0,0
42,0.92634,-0.80901,1.22988,0.97324,0.75742,-0.52704,0,0,1,1
42,-0.85696,0.31770,0.91396,0.03164,0.52582,-1.28220,0,0,1,1
42,-0.53884,-0.97247,1.11177,0.98588,0.87220,-0.57019,0,0,1,1
42,0.81004,-0.23776,0.84421,0.97731,0.10887,0.06202,1,0,0,0
42,-0.59869,-0.33860,0.68781,0.96153,0.91814,-0.60459,0,0,1,1
42,0.42966,-0.44368,0.61763,0.98285,0.66563,-0.47195,0,0,1,1
42,-0.18400,0.84413,0.86395,0.02902,0.78957,-1.16176,0,0,1,1
42,-0.99676,-0.63277,1.18065,0.96438,0.92612,-0.60708,0,0,1,1
